title,engine_size,engine_type,total_kms,price,link
Kylemore Cars,Independent Dealer4.7/5,2016,1.5 Petrol,"€17,950",/cars-for-sale/bmw-1-series-very-low-mielage-118i-1-5-automatic/37413335?campaign=3
Carlow Auto Works,Independent Dealer,2016,3.0 Diesel,"€24,995",/cars-for-sale/bmw-530d-m-sport-touring-auto/37590016?campaign=3
SPOTLIGHT,2014,1.6 Petrol,"87,000 km","€11,500",/cars-for-sale/141-bmw116i-automatic/35412097?campaign=3
Benjamin Motors,Independent Dealer,2015,1.6 Petrol,"€15,350",/cars-for-sale/bmw-1-series-2015-automatic-low-miles/37660779
BMW 520d Msport Automatic,2015,2.0 Diesel,"242,000 km","€15,950",/cars-for-sale/bmw-520d-msport-automatic/37607691
Apex Motors,Independent Dealer,2015,2.0 Diesel,"€19,949",/cars-for-sale/bmw-5-series-m-sport-auto-finance-arranged-automa/33877015
BMW 5-Series 141 D,2014,2.0 Diesel,"191,000 mi","€8,950",/cars-for-sale/bmw-5-series-141-d/37555509
Well Priced Cars,Independent Dealer,2016,2.0 Diesel,"€14,250",/cars-for-sale/bmw-3-series-d-sport-zlsg-4dr-auto/34372483
142 Bmw 320D,2014,2.0 Diesel,"220,000 mi","€8,950",/cars-for-sale/142-bmw-320d/37660433
BMW 1 Series 116d Sport Automatic 1.5l,2015,1.5 Diesel,"57,000 mi","€14,300",/cars-for-sale/bmw-1-series-116d-sport-automatic-1-5l/37501819
Roskeen Cars And Commercials,Independent Dealer,2015,2.0 Diesel,"€18,950",/cars-for-sale/bmw-x3-xdrive-20d-automatic-se-zb/37577663
Roskeen Cars And Commercials,Independent Dealer,2015,2.0 Diesel,"€13,950",/cars-for-sale/bmw-116d-2-0-diesel-sport-manual/37224481
Roskeen Cars And Commercials,Independent Dealer,2015,3.0 Diesel,"€26,950",/cars-for-sale/bmw-535d-m-sport-auto-313-bhp-low-miles/37053900
Roskeen Cars And Commercials,Independent Dealer,2016,1.5 Diesel,"€13,950",/cars-for-sale/bmw-116d-1-5-efd-plus-hatchback/36944411
Roskeen Cars And Commercials,Independent Dealer,2015,2.0 Diesel,"€15,950",/cars-for-sale/bmw-3-series-2-0-diesel-es-m-performance-kit/36660288
Roskeen Cars And Commercials,Independent Dealer,2014,2.0 Diesel,"€15,950",/cars-for-sale/bmw-5-series-2-0-diesel-se-auto/34938472
BMW 6-Series 2015,2015,3.0 Diesel,"137,000 km","€25,800",/cars-for-sale/bmw-6-series-2015/37660048
2015 BMW X5 M PERFORMANCE 7SEATS!!,2015,2.0 Diesel,"156,000 km","€29,950",/cars-for-sale/2015-bmw-x5-m-performance-7seats/37555070
Des Murphy Cars Ltd,Independent Dealer,2016,2.0 Diesel,"€22,995",/cars-for-sale/161-bmw-x5-diesel-7-seater/37463180
Belgard Sales LTD,Independent Dealer,2016,2.0 Diesel,"€17,999",/cars-for-sale/2016-bmw-520d-auto-low-miles/37609579
Bmw 420d m sport,2014,2.0 Diesel,"232,000 km","€19,000",/cars-for-sale/bmw-420d-m-sport/37659914
