title,engine_size,engine_type,total_kms,price,link
Frank Wray Cars Ltd,Independent Dealer,2016,2.0 Diesel,"€18,950",/cars-for-sale/bmw-3-series-2016-161leatherautomaticmintfsh/37625815?campaign=3
Naas Road Autos,Independent Dealer,2016,2.0 Diesel,"€21,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-plus-with-leather-5dr-e/37626334?campaign=3
SPOTLIGHT,2015,3.0 Diesel,100 mi,"€26,250",/cars-for-sale/335d-m-sport-xdrive-lci/37458526?campaign=3
Well Priced Cars,Independent Dealer,2016,2.0 Diesel,"€14,250",/cars-for-sale/bmw-3-series-d-sport-zlsg-4dr-auto/34372483
142 Bmw 320D,2014,2.0 Diesel,"220,000 mi","€8,950",/cars-for-sale/142-bmw-320d/37660433
Roskeen Cars And Commercials,Independent Dealer,2015,2.0 Diesel,"€15,950",/cars-for-sale/bmw-3-series-2-0-diesel-es-m-performance-kit/36660288
JMC Car Sales,Independent Dealer,2015,2.0 Diesel,"€17,995",/cars-for-sale/bmw-3-series-m-performance/37611780
P McCaffrey Motors,Independent Dealer,2015,2.0 Diesel,"€18,495",/cars-for-sale/152-bmw-320d-m-sport-f30-m-performance-zenons/37530971
P McCaffrey Motors,Independent Dealer,2016,2.0 Diesel,"€18,995",/cars-for-sale/2016-bmw-320d-ed-sport-f30-m-performance-kit-auto/37530966
P McCaffrey Motors,Independent Dealer,2016,2.0 Diesel,"€16,850",/cars-for-sale/2016-bmw-320d-ed-plus-f30-m-performance-kit-leathe/37281002
BMW F30 318D 2016,2016,2.0 Diesel,"128,000 mi","€13,999",/cars-for-sale/bmw-f30-318d-2016/37533885
Bmw 335d xdrive,2014,3.0 Diesel,"125,000 mi","€22,500",/cars-for-sale/bmw-335d-xdrive/37658166
DG Prestige Motors,Independent Dealer,2015,2.0 Diesel,"€19,995",/cars-for-sale/152-bmw-320d-m-sport-auto-m-performance/37626350
Max Miller Autos,Independent Dealer,2016,2.0 Diesel,"€17,450",/cars-for-sale/bmw-3-series-318-d-4dr-auto-leather/36871597
BMW 320d Msport,2014,2.0 Diesel,"166,000 mi","€11,950",/cars-for-sale/bmw-320d-msport/36760261
Sarsfield Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€14,950",/cars-for-sale/2016-bmw-330e-m-sport-auto-/37604445
Quality Motors,Independent Dealer,2014,2.0 Petrol,"€16,995",/cars-for-sale/2014-bmw-320i-m-sport-automatic-s34/37145721
Quality Motors,Independent Dealer,2014,2.0 Petrol,"€16,995",/cars-for-sale/2014-bmw-320i-automatic-s43/37188389
Quality Motors,Independent Dealer,2014,2.0 Petrol,"€16,995",/cars-for-sale/2014-bmw-320i-m-sport-automatic-s37/37145736
BMW 3-Series 2014,2014,2.0 Diesel,"136,000 mi","€8,900",/cars-for-sale/bmw-3-series-2014/37474121
BMW 3-Series 2015,2015,2.0 Diesel,"234,000 km","€12,000",/cars-for-sale/bmw-3-series-2015/37604411
Frank Keane BMW,Franchise Dealer4.4/5,2014,2.0 Diesel,"€14,500",/cars-for-sale/bmw-3-series-318d-se-saloon/37657402
Jack Byrne Motors,Independent Dealer,2016,2.0 Diesel,"€17,950",/cars-for-sale/320d-sport-auto-low-mileage/37657391
BMW 330d M Sport 256 BHP,2014,3.0 Diesel,"113,000 mi","€15,000",/cars-for-sale/bmw-330d-m-sport-256-bhp/37584510
BMW GT 318D M SPORT AUTO 2014 SUPERB CONDITION,2014,2.0 Diesel,"233,000 km","€11,950",/cars-for-sale/bmw-gt-318d-m-sport-auto-2014-superb-condition/37452229
Car,2014,2.0 Diesel,"200,000 km","€10,325",/cars-for-sale/car/37603411
2016 BMW 330D F30 M-SPORT,2016,3.0 Diesel,"143,000 km","€22,000",/cars-for-sale/2016-bmw-330d-f30-m-sport/37551894
BMW 3-Series 2016,2016,2.0 Diesel,"240,000 km","€12,000",/cars-for-sale/bmw-3-series-2016/37476886
Mount Merrion Cars,Independent Dealer,2016,2.0 Petrol Hybrid,"€23,900",/cars-for-sale/bmw-3-series-m-sport-330e-plug-in/35988349
Greg's Garage,Independent Dealer,2015,3.0 Diesel,"€18,995",/cars-for-sale/bmw-3-series-f30-330d-m-sport-auto/37567805
Greg's Garage,Independent Dealer,2014,3.0 Petrol,"€23,995",/cars-for-sale/bmw-3-series-335i-4dr-auto-performance-look-/36402222
Merlin Car Auctions,Independent Dealer,2014,2.0 Diesel,No price found,/cars-for-sale/bmw-3-series-se-z3ap-auto-1995/37654974
BMW 320D M SPORT AUTOMATIC,2015,2.0 Diesel,"123,000 mi","€18,000",/cars-for-sale/bmw-320d-m-sport-automatic/37442968
Naas Road Autos,Independent Dealer,2016,2.0 Diesel,"€21,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-plus-with-leather-5dr-e/37626334?campaign=3
Naas Road Autos,Independent Dealer,2015,2.0 Diesel,"€17,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-plus-5dr-estate-auto-/37633110?campaign=3
SPOTLIGHT,2014,2.0 Diesel,"154,540 km","€10,850",/cars-for-sale/bmw-3-series-2014-diesel-automatic-low-kms/37621963?campaign=3
BMW 320D 2014 XDRIVE,2014,2.0 Diesel,"143,000 mi","€12,000",/cars-for-sale/bmw-320d-2014-xdrive/37602484
BMW 3-Series (318D) 2015 M Sport,2015,2.0 Diesel,"299,000 km","€10,750",/cars-for-sale/bmw-3-series-318d-2015-m-sport/37442769
Anthony Conaghan Cars,Independent Dealer,2016,2.0 Diesel,"€20,995",/cars-for-sale/2016-bmw-318d-m-sport-auto-finance-available/36125592
BMW 3 series,2015,2.0 Diesel,"155,000 mi","€10,750",/cars-for-sale/bmw-3-series/37496775
Bmw 320d touring,2014,2.0 Diesel,"154,000 mi","€8,750",/cars-for-sale/bmw-320d-touring/37654949
BMW 316 D,2015,2.0 Diesel,"207,000 km","€13,000",/cars-for-sale/bmw-316-d/37654829
BMW 3-Series 2016,2016,2.0 Petrol Plug-in Hybrid,"176,339 km","€17,000",/cars-for-sale/bmw-3-series-2016/37496490
BMW 3 Series,2015,2.0 Diesel,"154,000 km","€12,650",/cars-for-sale/bmw-3-series/37654513
Assured Autos,Independent Dealer,2014,2.0 Diesel,"€13,900",/cars-for-sale/bmw-320d-se-touring-auto-low-klms/37552428
BMW F30 320d msport,2014,2.0 Diesel,"121,000 mi","€16,000",/cars-for-sale/bmw-f30-320d-msport/37496063
2014 Bmw 3-Series EFFICIENTDYNAMICS,2014,2.0 Diesel,"211,370 mi","€9,000",/cars-for-sale/2014-bmw-3-series-efficientdynamics/37654171
Naas Road Autos,Independent Dealer,2015,2.0 Diesel,"€17,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-plus-5dr-estate-auto-/37633110
Naas Road Autos,Independent Dealer,2016,2.0 Diesel,"€21,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-plus-with-leather-5dr-e/37626334
