title,engine_size,engine_type,total_kms,price,link
Petersons,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/mercedes-benz-c-class-c350e-e-sport-5dr-automatic/37197299?campaign=3
Pauric Byrne Cars,Independent Dealer,2016,2.1 Diesel,"€27,450",/cars-for-sale/mercedes-benz-c-class-220cdi-amg-premium-plus-2016/37332721?campaign=3
MotorCorp,Independent Dealer,2016,2.0 Hybrid,"€16,990",/cars-for-sale/mercedes-benz-c-class-c350e-sport-premium-plus/37633329?campaign=3
Eamon Murphy Car Sales.,Independent Dealer,2016,2.1 Diesel,"€16,000",/cars-for-sale/mercedes-benz-c220-sport-diesel-auto-/37660963
Maynooth Motors Ltd,Independent Dealer,2016,2.1 Diesel,"€26,995",/cars-for-sale/162-mercedes-c250-amg-premium-brand-new-nct-tax/37509494
Mercedes-Benz C-Class 2015,2015,1.6 Diesel,"152,000 mi","€12,000",/cars-for-sale/mercedes-benz-c-class-2015/37446813
C220 Mercedes Benz,2014,2.1 Diesel,"120,000 mi","€10,000",/cars-for-sale/c220-mercedes-benz/36699976
Ratoath Motor Centre,Independent Dealer,2016,1.6 Petrol,"€22,950",/cars-for-sale/mercedes-benz-c-class-180-1-6i-petrol-auto-amg-li/37038912
Quality Motors,Independent Dealer,2015,1.6 Petrol,"€19,995",/cars-for-sale/2015-mercedes-c180-low-miles-s78/36838140
Mercedes Benz C220 AMG Premium,2015,2.1 Diesel,"203,000 km","€14,950",/cars-for-sale/mercedes-benz-c220-amg-premium/37656722
Mercedes C350e Hybrid,2016,2.0 Petrol Plug-in Hybrid,"194,000 mi","€14,950",/cars-for-sale/mercedes-c350e-hybrid/37583667
Greg's Garage,Independent Dealer,2015,2.1 Diesel,"€19,995",/cars-for-sale/mercedes-benz-c-class-c250-amg-auto/35808539
Killaloe Auto Sales Ltd,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€18,950",/cars-for-sale/mercedes-benz-c-class-c-class-c350e-amg-premium/37022563
Autoline Car Sales,Independent Dealer,2016,2.1 Diesel,"€22,950",/cars-for-sale/mercedes-benz-c-class-c-series-d-amg-line-premium/37421163
Mercedes c180d,2015,1.6 Diesel,"229,038 km","€15,995",/cars-for-sale/mercedes-c180d/37496994
Mercedes c250d,2015,2.1 Diesel,"166,000 km","€15,000",/cars-for-sale/mercedes-c250d/35858891
2015 Mercedes Benz c220 sport,2015,2.1 Diesel,"149,000 mi",No price found,/cars-for-sale/2015-mercedes-benz-c220-sport/37655018
Pauric Byrne Cars,Independent Dealer,2016,2.1 Diesel,"€27,450",/cars-for-sale/mercedes-benz-c-class-220cdi-amg-premium-plus-2016/37332721
Wilsons Auctions (Dublin Car Department),Independent Dealer,2015,2.1 Diesel,No price found,/cars-for-sale/mercedes-benz-c-class-c-series-bluetec-sport-4dr/37654774
Mercedes C220 CDI AMG Sport BlueEFFICIENCY,2014,2.1 Diesel,"96,000 mi",No price found,/cars-for-sale/mercedes-c220-cdi-amg-sport-blueefficiency/37654857
Mercedes Benz C220 CDI BLUETEC AMG LINE AUTO,2014,2.1 Diesel,"217,000 km","€15,950",/cars-for-sale/mercedes-benz-c220-cdi-bluetec-amg-line-auto/37496577
McNamara Motors.ie,Independent Dealer,2015,1.6 Diesel,"€19,995",/cars-for-sale/mercedes-benz-c-class-estate-avantgard-exceptional/37612186
Mercedes C class,2014,2.1 Diesel,"183,000 mi","€15,200",/cars-for-sale/mercedes-c-class/37496317
Mercedes-Benz C-Class 2016,2016,1.6 Diesel,"144,000 km","€14,400",/cars-for-sale/mercedes-benz-c-class-2016/37581883
SMC Trade Sales,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€14,950",/cars-for-sale/mercedes-benz-c-class-2016/37409812
Centrepoint Autos Ltd,Independent Dealer,2015,2.1 Diesel,"€19,950",/cars-for-sale/mercedes-benz-c-class-amg-line-bluetec-auto/36122812
Mooneys Hyundai Deansgrange,Franchise Dealer4.9/5,2016,2.0 Petrol Plug-in Hybrid,"€19,995",/cars-for-sale/mercedes-benz-c-class-c350-e-sport-5dr-auto/37362883
Mercedes-Benz C-Class 2014,2014,2.1 Diesel,"160,000 km","€20,000",/cars-for-sale/mercedes-benz-c-class-2014/37217542
Naas Road Autos,Independent Dealer,2016,2.0 Hybrid,"€19,950",/cars-for-sale/mercedes-benz-c-class-c350e-hybrid-sport-4dr-salo/37465387
Sarsfield Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€17,950",/cars-for-sale/mercedes-benz-c-class-c-350-e-sport-phev-estate-f/34533859
Compass Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€15,950",/cars-for-sale/2016-mercedes-benz-c-class350e-2-0-hybrid-exlusive/37464987
Airport Cars,Independent Dealer,2016,2.1 Diesel,"€14,999",/cars-for-sale/mercedes-benz-c-class-c-series-d-sport-4dr-financ/37522445
Martin Murphy Car Sales,Independent Dealer,2015,1.6 Diesel,"€14,950",/cars-for-sale/mercedes-benz-c-class-c180-bluetec/37503604
MotorCorp,Independent Dealer,2016,2.0 Hybrid,"€16,990",/cars-for-sale/mercedes-benz-c-class-c350e-sport-premium-plus/37633329?campaign=3
Petersons,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/mercedes-benz-c-class-c350e-e-sport-5dr-automatic/37197299?campaign=3
Kearys CarStore,Independent Dealer4.4/5,2016,2.1 Diesel,"€23,888",/cars-for-sale/mercedes-benz-c-class-c220-220-d-2dr-auto/28935491?campaign=3
Excellent Auto Choice,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€17,950",/cars-for-sale/mercedes-benz-c350e-plug-in-hybrid-estate/34442488
