timestamp,make-model,average_price
2024-08-13_16-59-13,Audi-A4,"€14,119.36"
2024-08-13_16-59-23,BMW-3-Series,"€15,777.12"
2024-08-13_16-59-33,Mercedes-Benz-C-Class,"€17,307.80"
2024-08-13_19-29-38,Audi-A4,"€14,084.18"
2024-08-13_19-29-49,BMW-3-Series,"€15,880.57"
2024-08-13_19-29-58,Mercedes-Benz-C-Class,"€17,183.93"
2024-08-13_19-38-24,Audi-A4,"€14,109.24"
2024-08-13_19-38-33,BMW-3-Series,"€15,765.78"
2024-08-13_19-38-40,Mercedes-Benz-C-Class,"€17,392.56"
2024-08-13_19-54-55,Audi-A4,"€14,001.42"
2024-08-13_19-55-04,BMW-3-Series,"€15,781.52"
2024-08-13_19-55-10,Mercedes-Benz-C-Class,"€17,126.65"
2024-08-13_19-57-07,Audi-A4,"€14,111.54"
2024-08-13_19-57-14,BMW-3-Series,"€15,662.83"
2024-08-13_19-57-20,Mercedes-Benz-C-Class,"€17,097.99"
