title,engine_size,engine_type,total_kms,price,link
SPOTLIGHT,2016,2.0 Petrol Plug-in Hybrid,"29,500 mi","€22,999",/cars-for-sale/bmw-330e-msport-low-miles-high-spec/37625428?campaign=3
SPOTLIGHT,2016,2.0 Diesel,"161,459 mi","€11,500",/cars-for-sale/bmw-320d-ed-162/37698367?campaign=3
Liam Flood Cars,Independent Dealer,2016,2.0 Diesel,"€12,950",/cars-for-sale/bmw-3-series-2016-manual-service-history-/37663844?campaign=3
Auto Solutions Weston,Independent Dealer,2015,2.0 Diesel,"€12,950",/cars-for-sale/bmw-318d-se-sport-full-service-history/37036767
Evra Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,950",/cars-for-sale/bmw-3-series-330e-m-sport-2-0-petrol-plug-in-hybr/37005583
Evra Motors,Independent Dealer,2015,2.0 Diesel,"€15,950",/cars-for-sale/bmw-3-series-se-2-0-diesel/37087115
BMW 320d F30 M Sport,2015,2.0 Diesel,"79,000 mi","€17,600",/cars-for-sale/bmw-320d-f30-m-sport/37566642
JVC Motors,Independent Dealer,2014,2.0 Diesel,"€7,600",/cars-for-sale/bmw-3-series-2014/37620904
BMW 320d 2016 NEW NCT 2026,2016,2.0 Diesel,"129,999 mi","€13,750",/cars-for-sale/bmw-320d-2016-new-nct-2026/37217782
Gallaghers Cars,Independent Dealer,2014,2.0 Diesel,"€12,750",/cars-for-sale/bmw-3-series-142-320d-luxury-2-0-diesel/37161000
Bmw 325d M Sport Limited Edition,2014,2.0 Diesel,"248,000 km","€13,950",/cars-for-sale/bmw-325d-m-sport-limited-edition/37114430
BMW 318D M-sport,2014,2.0 Diesel,"127,500 mi","€12,500",/cars-for-sale/bmw-318d-m-sport/36589344
Conor Logue Motors,Independent Dealer,2015,2.0 Diesel,No price found,/cars-for-sale/2015-151-bmw-318d-msport-auto-deposit-taken/37618785
BMW 320D M-SPORT (152),2015,2.0 Diesel,"155,000 mi","€12,450",/cars-for-sale/bmw-320d-m-sport-152/37537639
Michael Barrable Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€21,950",/cars-for-sale/bmw-3-series-2-0l-petrol-plug-in-hybrid-m-sport/37616676
BMW F30 318D SE,2014,2.0 Diesel,"254,000 km","€10,800",/cars-for-sale/bmw-f30-318d-se/37403280
Colm Quinn BMW Athlone,Franchise Dealer4.5/5,2016,3.0 Diesel,"€29,995",/cars-for-sale/bmw-3-series-335d-xdrive-m-sport/37178106
Top spec 2016 BMW 330E M Sport Shadow Edition,2016,2.0 Petrol Plug-in Hybrid,14 days,"€15,100",/cars-for-sale/top-spec-2016-bmw-330e-m-sport-shadow-edition/36727556
LMR Car Sales,Independent Dealer,2016,2.0 Diesel,"€21,950",/cars-for-sale/bmw-320d-m-sport-m-performance/37026897
AIG Autos,Independent Dealer,2016,2.0 Diesel,"€13,950",/cars-for-sale/162-bmw-320d-f30-efficient-dynamics-plus-4dr/37613175
JMC Car Sales,Independent Dealer,2014,2.0 Diesel,"€11,995",/cars-for-sale/bmw-3-series-efficient-dynamics/37552501
BMW 330d M-sport Plus,2014,3.0 Diesel,"132,000 mi","€19,000",/cars-for-sale/bmw-330d-m-sport-plus/37396947
2018 BMW 316 2L Diesel Manual,2016,2.0 Diesel,"119,000 mi","€15,100",/cars-for-sale/2018-bmw-316-2l-diesel-manual/37388288
🔥2014 BMW 316d Sport🔥,2014,2.0 Diesel,"129,000 mi",No price found,/cars-for-sale/2014-bmw-316d-sport/37601532
Kearys CarStore Limerick,Independent Dealer4.6/5,2016,2.0 Petrol Plug-in Hybrid,"€18,690",/cars-for-sale/bmw-3-series-330e-sport/37563632
O'Connell Automotive Ltd,Independent Dealer,2014,2.0 Diesel,"€13,999",/cars-for-sale/2014-bmw-3-series-2-0d-se-with-m-sport-alloys/35465778
O'Connell Automotive Ltd,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,999",/cars-for-sale/2016-bmw-330e-se-m-sport-allows-auto-phev/33328050
O'Connell Automotive Ltd,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€16,999",/cars-for-sale/2016-bmw-330e-luxury-hybrid-automatic/37476026
Nearys Lusk,Franchise Dealer,2016,2.0 Diesel,"€18,950",/cars-for-sale/bmw-3-series-316d-se-zlbf-4dr-auto/37595751
151 BMW 320 30 AUTO NCT04/26,2015,2.0 Diesel,"139,890 km","€11,700",/cars-for-sale/151-bmw-320-30-auto-nct04-26/33142035
BMW 320d Msport,2016,2.0 Diesel,"148,000 mi","€16,250",/cars-for-sale/bmw-320d-msport/36180619
BMW 3-Series 2014,2014,2.0 Diesel,"182,500 km","€10,500",/cars-for-sale/bmw-3-series-2014/37586966
Braeside Car Sales,Independent Dealer,2014,2.0 Diesel,No price found,/cars-for-sale/2014-bmw-320d-m-sport-x-drive-4wd-mint-car/36897790
Automart Lucan,Independent Dealer,2016,2.0 Diesel,"€21,499",/cars-for-sale/bmw-3-series-2016-2-0-diesel-automatic-m-sports/37546241?campaign=3
Aaamber Motors Ltd,Independent Dealer,2016,2.0 Petrol Hybrid,"€19,995",/cars-for-sale/2016-bmw-330e-auto-white/35533090?campaign=3
Greg's Garage,Independent Dealer,2016,2.0 Diesel,"€18,995",/cars-for-sale/bmw-3-series-320d-m-sport-manual/37662071?campaign=3
D & L O'Connell Bros Car Sales LTD,Independent Dealer,2015,2.0 Diesel,"€15,900",/cars-for-sale/bmw-3-series-f30-d-m-sport-4dr-auto/36627643
Superior Autos,Independent Dealer,2015,2.0 Diesel,"€20,995",/cars-for-sale/2015-bmw-3-series-320d-msport-auto/37681831
Car,2014,2.0 Diesel,"200,000 km","€10,325",/cars-for-sale/car/37603411
2016 BMW 330D F30 M-SPORT,2016,3.0 Diesel,"143,000 km","€20,000",/cars-for-sale/2016-bmw-330d-f30-m-sport/37551894
BMW 2016 F30,2016,2.0 Diesel,"162,000 mi","€12,000",/cars-for-sale/bmw-2016-f30/37711600
Autoxpress,Independent Dealer,2015,2.0 Diesel,"€17,750",/cars-for-sale/bmw-3-series-320d-estate-automatic-reverse-camera/37711447
CMC CAR SALES,Independent Dealer4.9/5,2014,2.0 Diesel,"€10,950",/cars-for-sale/2014-bmw-3-series/36682513
BMW 320D SERIES | M SPORT,2016,2.0 Diesel,"72,000 mi","€18,250",/cars-for-sale/bmw-320d-series-m-sport/37481885
Mc Andrew Motors,Independent Dealer,2014,2.0 Diesel,"€8,795",/cars-for-sale/nct-03-26-preformance-kit/37675770
162 Bmw F30 320d Msport 190Ps,2016,2.0 Diesel,"117,000 mi","€18,000",/cars-for-sale/162-bmw-f30-320d-msport-190ps/37217510
141 bmw 316 diesel new nct,2014,2.0 Diesel,"200,123 mi","€7,500",/cars-for-sale/141-bmw-316-diesel-new-nct/37594018
BMW 3 series,2015,2.0 Diesel,"155,000 mi","€10,750",/cars-for-sale/bmw-3-series/37496775
BMW 316 D,2015,2.0 Diesel,"207,000 km","€12,500",/cars-for-sale/bmw-316-d/37654829
BMW 3-Series 2016,2016,2.0 Petrol Plug-in Hybrid,"176,339 km","€16,500",/cars-for-sale/bmw-3-series-2016/37496490
DG Cars & 4X4 LTD,Independent Dealer,2016,2.0 Diesel,"€19,950",/cars-for-sale/2016-bmw-320d-m-sport-automatic/37632636
BMW 3 Series,2015,2.0 Diesel,"154,000 km","€12,650",/cars-for-sale/bmw-3-series/37654513
BMW F30 320d msport,2014,2.0 Diesel,"121,000 mi","€15,750",/cars-for-sale/bmw-f30-320d-msport/37496063
2014 Bmw 3-Series EFFICIENTDYNAMICS,2014,2.0 Diesel,"211,370 mi","€9,000",/cars-for-sale/2014-bmw-3-series-efficientdynamics/37654171
